avg_bond_length,std_bond_length,skew_bond_length,distortion_index,quadratic_elongation,n_corner_pairs,n_edge_pairs,n_face_pairs,n_atoms_in_cell,avg_bond_angles,std_bond_length_angles,skew_bond_length_angles,volumes,bond_angle_variance,central_atoms,polyhedra_formula,poly_types,n_atoms_per_cell,Formula,cif_name,Material,Structure,Structure type,Mol wt (g/mol),Central Atom(s),Total Number of TM,Capacity (mAh/g),1st Discharge (mAh/g),1st Charge (mAh/g),1st Charge/1st Discharge Ratio,2nd Discharge (mAh/g),2nd/1st Discharge Ratio,x moles of Li+,Li/TM ,Rate of cycling (nC),m (width),n (height),Repeat (e.g. ? or 1 ),Cycling Shape,Area,Perimeter,Edge pairs/Corner Pairs,Paper with reported capacity,Notes
1.920770663,0.013591061,-0.707106781,0.006671164,1.193391444,80,10,8,140,90.06671664,2.768206958,-0.072191101,9.41483665,8.364459134,Nb,O6,Octahedron,140,Nb9MoO25,Nb7Ti1.5Mo1.5O25,Nb7Ti1.5Mo1.5O25,Wadsley-Roth,WR,1285.71,"Nb, Ti",10,268,267.55,247.61,1.080529866,232.44,1.151049733,12.85643373,1.285643373,0.1,3,3,inf,Asymmetric,9,12,0.125,10.1039/D3DT02144K,
2.079404874,0.258078178,0.311052415,0.1068622,0.908849718,80,10,8,140,106.3064552,24.09947461,0.939637642,6.918115341,,Nb,O5,Square pyramid,140,Nb9MoO25,Nb7Ti1.5Mo1.5O25,Nb7Ti1.5Mo1.5O25,Wadsley-Roth,WR,1285.71,"Nb, Ti",10,268,267.55,247.61,1.080529866,232.44,1.151049733,12.85643373,1.285643373,0.1,3,3,inf,Asymmetric,9,12,0.125,10.1039/D3DT02144K,
1.963140222,0.363410118,-0.32961894,0.153542878,5.790866596,80,10,8,140,100.6734933,40.24852537,-1.079633084,4.34338783,,Nb,O6,Trigonal prism,140,Nb9MoO25,Nb7Ti1.5Mo1.5O25,Nb7Ti1.5Mo1.5O25,Wadsley-Roth,WR,1285.71,"Nb, Ti",10,268,267.55,247.61,1.080529866,232.44,1.151049733,12.85643373,1.285643373,0.1,3,3,inf,Asymmetric,9,12,0.125,10.1039/D3DT02144K,
2.034270337,0.155080314,0.313808347,0.063511947,1.237665288,120,76,0,224,90.12862935,6.295582373,-0.197593529,10.59734951,45.40507839,Nb,O6,Octahedron,224,Nb2O5,N_Nb2O5,N-Nb2O5,,,,,2,,,,,,,,,,,,,,,,0.633333333,,
2.035798627,0.005524416,-0.436157542,0.002376969,1.66792374,120,76,0,224,106.4619658,23.55786273,0.986435275,6.784233607,,Nb,O5,Trigonal bipyramid,224,Nb2O5,N_Nb2O5,N-Nb2O5,,,,,2,,,,,,,,,,,,,,,,0.633333333,,
1.999764224,0.124088083,0.25482834,0.045591643,1.225443194,48,50,0,140,90.2172779,5.078241386,-0.276712877,10.21241542,31.8982222,Nb,O6,Octahedron,140,Nb9PO25,PNb9O25,PNb9O25,Wadsley-Roth,WR,1267.11,Nb,9,254,246.27,229.84,0.933284606,229.27,0.930970073,12.00855453,1.334283837,0.1,3,3,inf,Symmetric,9,12,1.041666667,10.1016/j.jpowsour.2021.230776,C/40 = 12Q/40 = 254 mA h g?1/40 h = 6.35 mA g?1
1.867,4.93E-16,,1.95E-16,1.190550789,81,0,0,108,90,2.30E-14,,8.677041817,6.20E-28,Re,O6,Octahedron,108,ReO3,ReO3,,,,,,,,,,,,,,,,,,,,,,0,,
2.01582067,0.195803048,0.05179726,0.081774727,1.230512366,8,32,0,56,90.07252795,3.294244339,-0.065937485,10.39411065,11.8443339,Nb,O6,Octahedron,56,Nb2O5,R_Nb2O5,R-Nb2O5,Wadsley-Roth Adjacent,V2O5,265.81,Nb,2,176.48,176.48,180.23,1.021248867,167.85,0.951099275,1.750287979,0.87514399,0.1,2,1,1,Symmetric,2,6,4,10.1039/D2TA08653K,"No general specific capacity reported, so first discharge is used."
1.996932817,0.151620129,0.256345274,0.060040348,1.223584193,192,132,0,352,90.18789843,4.913992049,-0.119398098,10.19345491,28.63596702,Nb,O6,Octahedron,352,Nb13O31,Ta7Ti1.5Mo1.5O25,Ta7Ti1.5Mo1.5O25,Wadsley-Roth,WR,1882.33,"Ta, Ti",10,140,139.16,97.1,0.697757976,97.53,1.426843023,9.8325576,0.98325576,0.1,3,3,inf,Asymmetric,9,12,0.6875,10.1039/D3DT02144K,
1.832802324,0.011582585,-1.08E-14,0.006319604,2.270882282,192,132,0,352,109.5653382,5.372265805,0.71377127,3.116130057,34.64411759,Nb,O4,Tetrahedron,352,Nb13O31,Ta7Ti1.5Mo1.5O25,Ta7Ti1.5Mo1.5O25,Wadsley-Roth,WR,1882.33,"Ta, Ti",10,140,139.16,97.1,0.697757976,97.53,1.426843023,9.8325576,0.98325576,0.1,3,3,inf,Asymmetric,9,12,0.6875,10.1039/D3DT02144K,
1.974249143,0.13112496,-0.220855771,0.049132252,1.695850381,192,132,0,352,100.9218903,18.16042958,1.694921653,6.035110164,,Nb,O5,Trigonal bipyramid,352,Nb13O31,Ta7Ti1.5Mo1.5O25,Ta7Ti1.5Mo1.5O25,Wadsley-Roth,WR,1882.33,"Ta, Ti",10,140,139.16,97.1,0.697757976,97.53,1.426843023,9.8325576,0.98325576,0.1,3,3,inf,Asymmetric,9,12,0.6875,10.1039/D3DT02144K,
1.988157419,0.111092615,0.299289386,0.044353707,1.242048956,136,168,0,328,93.69305092,13.90662539,1.549568028,9.842444901,294.9888413,Nb,O6,Octahedron,328,Nb12O29,Ti1.3Nb24O62,TiNb24O62,Wadsley-Roth,WR,3269.6,"Ti,Nb",25,300,305,240,0.786885246,200,0.655737705,36.59810333,1.463924133,0.1,3,4,2,Symmetric,12,14,1.235294118,10.1021/acs.inorgchem.6b03154,"First charge value is retrieved from Table 1 and column ""first cycle capacity (mAhg^-1)."
1.99609918,0.153607372,-0.164194856,0.061232273,1.250302613,48,70,0,120,93.70291609,13.95176445,1.637261915,9.865669248,296.5681727,Nb,O6,Octahedron,120,Nb3O7,Ti2Nb10O29,Ti2Nb10O29,Wadsley-Roth,WR,1488.78,"Ti, Nb",12,251.4,268.79,237.28,0.882770936,255.96,0.952267569,13.9649215,1.163743459,0.5,3,4,inf,Symmetric,12,14,1.458333333,10.1063/5.0054030,No specific capacity reported aside from Figure 3a. 
2.01925047,0.161651435,0.285578788,0.06949351,1.258468725,92,56,0,164,92.41737392,10.32833813,0.181888032,10.16692949,207.5287483,Nb,O6,Octahedron,164,Nb12O29,TiNb2O7,TiNb2O7,Wadsley-Roth,WR,345.7,"Ti,Nb",3,232.6,281.73,291.35,1.047418752,281.73,1.01283434,3.000210934,1.000070311,0.1,3,3,inf,Symmetric,9,12,0.608695652,10.1021/jacs.9b06669,"DOI added by Steph. Capacity, first charge and disharge, and 2nd discharge were extracted from inset in Fig. 3 in paper: https://pubs.acs.org/doi/full/10.1021/acs.chemmater.0c02955."
2.01925047,0.161651435,0.285578788,0.06949351,1.258468725,92,56,0,164,92.41737392,10.32833813,0.181888032,10.16692949,207.5287483,Nb,O6,Octahedron,164,Nb12O29,TiNb2O7,Ru0.01Ti0.99Nb2O7,Wadsley-Roth,WR,365.41,"Ti, Nb",3,388,350,302,0.862857143,308,0.88,5.28999003,1.76333001,0.1,3,3,inf,Symmetric,9,12,0.608695652,10.1039/C5TA01073J,"For capacity column, the theoretical capacity is provided. Use TiNb2O7, modify based on table 1, export as CIF."
2.038988145,0.153687181,0.438641655,0.070712752,0.959632351,92,56,0,164,100.8746071,20.42861202,0.735375425,6.011675391,,Nb,O5,Square pyramid,164,Nb12O29,TiNb2O7,TiNb2O7,Wadsley-Roth,WR,345.7,"Ti,Nb",3,232.6,281.73,291.35,1.047418752,281.73,1.01283434,3.000210934,1.000070311,0.1,3,3,inf,Symmetric,9,12,0.608695652,10.1021/jacs.9b06669,"DOI added by Steph. Capacity, first charge and disharge, and 2nd discharge were extracted from inset in Fig. 3 in paper: https://pubs.acs.org/doi/full/10.1021/acs.chemmater.0c02955."
2.038988145,0.153687181,0.438641655,0.070712752,0.959632351,92,56,0,164,100.8746071,20.42861202,0.735375425,6.011675391,,Nb,O5,Square pyramid,164,Nb12O29,TiNb2O7,Ru0.01Ti0.99Nb2O7,Wadsley-Roth,WR,365.41,"Ti, Nb",3,388,350,302,0.862857143,308,0.88,5.28999003,1.76333001,0.1,3,3,inf,Symmetric,9,12,0.608695652,10.1039/C5TA01073J,"For capacity column, the theoretical capacity is provided. Use TiNb2O7, modify based on table 1, export as CIF."
1.927199927,0.128852013,-0.128651178,0.059190993,1.689932529,92,56,0,164,100.3790068,17.08101573,1.576460313,5.643348765,,Nb,O5,Trigonal bipyramid,164,Nb12O29,TiNb2O7,TiNb2O7,Wadsley-Roth,WR,345.7,"Ti,Nb",3,232.6,281.73,291.35,1.047418752,281.73,1.01283434,3.000210934,1.000070311,0.1,3,3,inf,Symmetric,9,12,0.608695652,10.1021/jacs.9b06669,"DOI added by Steph. Capacity, first charge and disharge, and 2nd discharge were extracted from inset in Fig. 3 in paper: https://pubs.acs.org/doi/full/10.1021/acs.chemmater.0c02955."
1.927199927,0.128852013,-0.128651178,0.059190993,1.689932529,92,56,0,164,100.3790068,17.08101573,1.576460313,5.643348765,,Nb,O5,Trigonal bipyramid,164,Nb12O29,TiNb2O7,Ru0.01Ti0.99Nb2O7,Wadsley-Roth,WR,365.41,"Ti, Nb",3,388,350,302,0.862857143,308,0.88,5.28999003,1.76333001,0.1,3,3,inf,Symmetric,9,12,0.608695652,10.1039/C5TA01073J,"For capacity column, the theoretical capacity is provided. Use TiNb2O7, modify based on table 1, export as CIF."
1.989467744,0.127658172,0.482940469,0.050663509,1.223179468,48,70,0,120,90.18871336,4.52808497,0.234753658,10.08235789,26.85693914,Ta,O6,Octahedron,120,Ta7Ti2O21,TiNb6O17,TiNb6O17,Wadsley-Roth,WR,877.29,"Ti,Nb",7,383,380,320,0.842105263,330,0.868421053,12.53674096,1.790962995,0.1,4,3,1,Symmetric,12,14,1.458333333,10.1039/c5cc01494h,Similar xtal structure to Ti2Nb10O29
1.991043753,0.16158287,-0.035777956,0.066149962,1.236762421,48,70,0,120,90.11700957,4.414742246,-0.17407146,9.939707797,21.27669855,Ti,O6,Octahedron,120,Ta7Ti2O21,TiNb6O17,TiNb6O17,Wadsley-Roth,WR,877.29,"Ti,Nb",7,383,380,320,0.842105263,330,0.868421053,12.53674096,1.790962995,0.1,4,3,1,Symmetric,12,14,1.458333333,10.1039/c5cc01494h,Similar xtal structure to Ti2Nb10O29
1.830734969,0.146332742,-0.484316191,0.064915618,0.935397138,8,24,0,56,106.7721152,24.87340934,1.053249815,4.521589354,,V,O5,Square pyramid,56,V2O5,TiTa2O7,TiTa2O7,Wadsley-Roth,WR,340.81,"Ti,Ta",3,212,214.97,108.48,0.504628553,163.56,0.760850351,2.695819993,0.898606664,0.2,3,3,inf,Symmetric,9,12,3,10.1016/j.materresbull.2013.03.033,Similar to TiNb2O7
2.001697209,0.168454118,0.52664091,0.062746693,1.237607578,40,60,2,86,90.23156159,5.560670809,0.602166833,10.0900517,34.94513442,Nb,O6,Octahedron,86,Nb8V6O29,V2O5,alpha V2O5,Wadsley-Roth Adjacent,V2O5,181.88,V,2,285,218.934,273.48,1.249143578,271.97,1.242246522,1.93407141,0.967035705,0.5,2,1,1,Symmetric,2,6,1.5,10.1073/pnas.2115072119,
1.959893085,0.160584321,-1.050863625,0.055723875,1.221563799,40,60,2,86,90.09249958,2.87016252,-0.104422333,9.659965834,13.4940912,V,O6,Octahedron,86,Nb8V6O29,V2O5,alpha V2O5,Wadsley-Roth Adjacent,V2O5,181.88,V,2,285,218.934,273.48,1.249143578,271.97,1.242246522,1.93407141,0.967035705,0.5,2,1,1,Symmetric,2,6,1.5,10.1073/pnas.2115072119,
1.998610095,0.136719023,0.421923309,0.051329992,1.220534881,64,50,0,140,90.16446999,4.488760212,-0.04276063,10.25474663,22.56634231,Nb,O6,Octahedron,140,Nb9VO25,V7Nb6O29,V7Nb6O29,Wadsley-Roth,WR,1592.72,"V, Nb",13,253,230,212.5,0.923913043,212.5,0.923913043,15.03497306,1.156536389,0.1,2.5,2.5,inf,Asymmetric,6.25,10,0.78125,10.1021/acs.chemmater.2c03465,"DOI added by Steph, refer to Figure 2d to find CE (%), it is not explicitly stated (what is added is a visual approximation)"
1.721340491,5.40E-16,,2.74E-16,2.25403775,64,50,0,140,109.4895598,2.40377164,0.707106781,2.610472987,6.934145304,V,O4,Tetrahedron,140,Nb9VO25,V7Nb6O29,V7Nb6O29,Wadsley-Roth,WR,1592.72,"V, Nb",13,253,230,212.5,0.923913043,212.5,0.923913043,15.03497306,1.156536389,0.1,2.5,2.5,inf,Asymmetric,6.25,10,0.78125,10.1021/acs.chemmater.2c03465,"DOI added by Steph, refer to Figure 2d to find CE (%), it is not explicitly stated (what is added is a visual approximation)"
1.984989649,0.102038397,-0.282559358,0.042755756,1.238065615,112,80,0,244,91.45041289,8.604943287,0.487022946,9.838966642,132.2641965,Nb,O6,Octahedron,244,Nb16WO44,VNb9O25,VNb9O25,Wadsley-Roth,WR,1287.08,"V, Nb",9,260,300,300,1,292.04,0.973466667,12.48594994,1.387327771,0.1,3,3,inf,Asymmetric,9,12,0.714285714,10.1021/acs.jpcc.0c07373?ref=pdf,
1.757755369,7.05E-16,,3.39E-16,2.257448321,112,80,0,244,109.5051307,3.252104389,0.707106781,2.773378864,12.69279942,W,O4,Tetrahedron,244,Nb16WO44,VNb9O25,VNb9O25,Wadsley-Roth,WR,1287.08,"V, Nb",9,260,300,300,1,292.04,0.973466667,12.48594994,1.387327771,0.1,3,3,inf,Asymmetric,9,12,0.714285714,10.1021/acs.jpcc.0c07373?ref=pdf,
1.965268276,0.139114568,0.176321117,0.062938815,1.241980635,16,60,0,112,90.13131612,5.549278348,0.305193912,9.498475827,33.61280085,V,O6,Octahedron,112,V3WO10,W3Nb14O33,W3Nb14O44,Wadsley-Roth,WR,2556.18,"W, Nb",17,228.3,182.729403,181.3401487,0.992397204,174.6151094,0.955593936,21.7740915,1.280828912,0.5,4,4,1,Symmetric,16,16,3.75,10.1016/S0167-2738(96)00537-1,
1.836333673,0.202204828,-1.192655578,0.08893046,0.945700762,16,60,0,112,100.8087357,19.80302707,1.354514384,4.488827608,,V,O5,Square pyramid,112,V3WO10,W3Nb14O33,W3Nb14O44,Wadsley-Roth,WR,2556.18,"W, Nb",17,228.3,182.729403,181.3401487,0.992397204,174.6151094,0.955593936,21.7740915,1.280828912,0.5,4,4,1,Symmetric,16,16,3.75,10.1016/S0167-2738(96)00537-1,
1.967007337,0.23891197,0.183417344,0.103661134,1.250924717,16,60,0,112,90.30866149,6.361675427,-0.218470403,9.421754984,44.25402125,W,O6,Octahedron,112,V3WO10,W3Nb14O33,W3Nb14O44,Wadsley-Roth,WR,2556.18,"W, Nb",17,228.3,182.729403,181.3401487,0.992397204,174.6151094,0.955593936,21.7740915,1.280828912,0.5,4,4,1,Symmetric,16,16,3.75,10.1016/S0167-2738(96)00537-1,
1.984179495,0.088043366,0.111933279,0.036824163,1.233924221,196,144,0,428,92.73286576,11.3515608,1.139567489,9.873184999,219.258834,Nb,O6,Octahedron,428,Nb28W2O77,W3V5O20,W3V5O20,Wadsley-Roth Adjacent,R-Nb2O5,,,,,,,,,,,,,,,,,,,0.734693878,,
1.851608443,0.082563283,0.321029754,0.041565937,2.31214952,196,144,0,428,109.7008325,9.130588338,-0.627705462,3.127405617,100.104438,W,O4,Tetrahedron,428,Nb28W2O77,W3V5O20,W3V5O20,Wadsley-Roth Adjacent,R-Nb2O5,,,,,,,,,,,,,,,,,,,0.734693878,,
1.984179495,0.088043366,0.111933279,0.036824163,1.233924221,196,144,0,428,92.73286576,11.3515608,1.139567489,9.873184999,219.258834,Nb,O6,Octahedron,428,Nb28W2O77,W4Nb14O44,W4Nb14O44,Wadsley-Roth,WR,2740.02,"W, Nb",18,,,,,,,,,,,,,,,,0.734693878,,
1.851608443,0.082563283,0.321029754,0.041565937,2.31214952,196,144,0,428,109.7008325,9.130588338,-0.627705462,3.127405617,100.104438,W,O4,Tetrahedron,428,Nb28W2O77,W4Nb14O44,W4Nb14O44,Wadsley-Roth,WR,2740.02,"W, Nb",18,,,,,,,,,,,,,,,,0.734693878,,
1.972757108,0.073267051,-0.07619837,0.031525909,1.235356088,140,96,0,304,93.20693824,12.46617234,1.280909567,9.689071496,252.9114769,Nb,O6,Octahedron,304,Nb20WO55,W4Nb26O77,W4Nb26O77,Wadsley-Roth,WR,4382.88,"W, Nb",30,225.0326523,224.3746764,219.2197164,0.977025215,,,36.8,1.226666667,0.5,3.5,4,,Symmetric,14,15,0.685714286,10.1016/S0167-2738(96)00374-8,"The x Li in LixW4Nb26O77 plot provides us with an initial discharge and charge curve. However, we need to subtract 32.5 The structure is built from alternating slabs of WNb12O33 and W3Nb14O44"
1.798749098,0.040695803,-6.15E-15,0.022624502,2.29481188,140,96,0,304,109.6455847,8.097865266,-0.654341366,2.899691267,78.72698964,W,O4,Tetrahedron,304,Nb20WO55,W4Nb26O77,W4Nb26O77,Wadsley-Roth,WR,4382.88,"W, Nb",30,225.0326523,224.3746764,219.2197164,0.977025215,,,36.8,1.226666667,0.5,3.5,4,,Symmetric,14,15,0.685714286,10.1016/S0167-2738(96)00374-8,"The x Li in LixW4Nb26O77 plot provides us with an initial discharge and charge curve. However, we need to subtract 32.5 The structure is built from alternating slabs of WNb12O33 and W3Nb14O44"
1.974741368,0.147621106,-0.031178701,0.060099929,1.214761043,176,114,0,380,90.07196921,3.374341834,-0.09846342,9.970509796,14.43935084,Nb,O6,Octahedron,380,Nb25WO69,W5Nb16O55,W5Nb16O55,Wadsley-Roth,WR,3285.67,"W, Nb",21,225,255.47,241.93,0.946999648,243.38,0.952675461,27.58348655,1.31349936,0.2,4,5,1,Symmetric,20,18,0.647727273,10.1038/s41586-018-0347-0,"Has CS and pentagonal columns. Cap taken from sentence ""At C/5, around 1.3 Li+/TM can be reversibly intercalated for a gravimetric capacity of about 225 mA h g?1."""
1.974741368,0.147621106,-0.031178701,0.060099929,1.214761043,176,114,0,380,90.07196921,3.374341834,-0.09846342,9.970509796,14.43935084,Nb,O6,Octahedron,380,Nb25WO69,W5Nb16O55,Nb16W5O55,Wadsley-Roth,WR,3285.67,"W, Nb",21,225,254.5,241.99,0.950844794,235.82,0.926601179,27.58348655,1.31349936,0.2,4,5,1,Symmetric,20,18,0.647727273,10.1038/s41586-018-0347-0,Charge value could be charge or discharge (it is unclear given that we had to refer to V vs sp. C plot and sp. C vs cycle # plot.
1.770995377,1.48E-15,,6.74E-16,2.260140093,176,114,0,380,109.5174445,3.784773626,0.707106781,2.831456348,17.19197766,W,O4,Tetrahedron,380,Nb25WO69,W5Nb16O55,W5Nb16O55,Wadsley-Roth,WR,3285.67,"W, Nb",21,225,255.47,241.93,0.946999648,243.38,0.952675461,27.58348655,1.31349936,0.2,4,5,1,Symmetric,20,18,0.647727273,10.1038/s41586-018-0347-0,"Has CS and pentagonal columns. Cap taken from sentence ""At C/5, around 1.3 Li+/TM can be reversibly intercalated for a gravimetric capacity of about 225 mA h g?1."""
1.770995377,1.48E-15,,6.74E-16,2.260140093,176,114,0,380,109.5174445,3.784773626,0.707106781,2.831456348,17.19197766,W,O4,Tetrahedron,380,Nb25WO69,W5Nb16O55,Nb16W5O55,Wadsley-Roth,WR,3285.67,"W, Nb",21,225,254.5,241.99,0.950844794,235.82,0.926601179,27.58348655,1.31349936,0.2,4,5,1,Symmetric,20,18,0.647727273,10.1038/s41586-018-0347-0,Charge value could be charge or discharge (it is unclear given that we had to refer to V vs sp. C plot and sp. C vs cycle # plot.
1.974741368,0.147621106,-0.031178701,0.060099929,1.214761043,176,114,0,380,90.07196921,3.374341834,-0.09846342,9.970509796,14.43935084,Nb,O6,Octahedron,380,Nb25WO69,W8Nb10O69,W8Nb10O69,,,3503.74,"W, Nb",18,,,,,,,,,,,,,,,,0.647727273,,
1.770995377,1.48E-15,,6.74E-16,2.260140093,176,114,0,380,109.5174445,3.784773626,0.707106781,2.831456348,17.19197766,W,O4,Tetrahedron,380,Nb25WO69,W8Nb10O69,W8Nb10O69,,,3503.74,"W, Nb",18,,,,,,,,,,,,,,,,0.647727273,,
1.987641355,0.090938239,0.222872338,0.042772655,1.261732353,84,64,0,184,94.17011222,15.3359591,1.304963255,9.600505071,317.6567999,Nb,O6,Octahedron,184,Nb12WO33,W8Nb18O69,W8Nb18O69,Wadsley-Roth,WR,4246.99,"W, Nb",26,164.1,276.08,218.05,0.789807302,237.02,0.85851927,26.00354265,1.000136256,0.2,4,5,1,Asymmetric,20,18,0.761904762,10.1021/acs.chemmater.9b05403,
1.700720058,0.002283188,-5.47E-14,0.001342483,2.251535888,84,64,0,184,109.4781057,1.485895508,0.704366338,2.521975238,2.649519439,W,O4,Tetrahedron,184,Nb12WO33,W8Nb18O69,W8Nb18O69,Wadsley-Roth,WR,4246.99,"W, Nb",26,164.1,276.08,218.05,0.789807302,237.02,0.85851927,26.00354265,1.000136256,0.2,4,5,1,Asymmetric,20,18,0.761904762,10.1021/acs.chemmater.9b05403,
2.023843188,0.1510861,0.317254642,0.067112134,1.224782954,192,48,0,144,90.0119094,3.178295849,-0.903526326,10.59259835,11.02004328,Nb,O6,Octahedron,144,Nb2ZnO6,WV2O7,WV2O7,,,397.71,"W,V",3,,,,,,,,,,,,,,,,,,
2.098192136,0.056770089,0.628680717,0.02518959,1.211219996,192,48,0,144,89.98121696,2.258919838,0.494691272,12.00222722,5.566987238,Zn,O6,Octahedron,144,Nb2ZnO6,WV2O7,WV2O7,,,397.71,"W,V",3,,,,,,,,,,,,,,,,,,
